metric,arm,n,mean,ci_lo,ci_hi,wilcoxon_p
similarity,rag_small,60,0.7983154912789663,0.7734743262827396,0.8224164423843224,0.48678479594958957
similarity,rag_large,60,0.8112221380074819,0.7875355504701536,0.8341017396996419,0.48678479594958957
correctness,rag_small,60,3.6666666666666665,3.3,4.016666666666667,0.34203738052310284
correctness,rag_large,60,3.7666666666666666,3.4,4.1,0.34203738052310284
faithfulness,rag_small,60,4.933333333333334,4.8,5.0,0.6547208460185769
faithfulness,rag_large,60,4.95,4.85,5.0,0.6547208460185769
completeness,rag_small,60,3.066666666666667,2.75,3.3666666666666667,0.6625990758716023
completeness,rag_large,60,3.1166666666666667,2.816666666666667,3.4166666666666665,0.6625990758716023
conciseness,rag_small,60,4.833333333333333,4.716666666666667,4.933333333333334,0.1445852799373539
conciseness,rag_large,60,4.933333333333334,4.85,5.0,0.1445852799373539
