arm,model,n_questions,mean_prompt_tokens,mean_completion_tokens,mean_usd_per_query,usd_per_query_ci_lo,usd_per_query_ci_hi,total_usd,is_estimated
closed_book,openai/gpt-oss-20b,60,375.55,34.583333333333336,3.8541249999999986e-05,3.5136218750000004e-05,4.278378124999999e-05,0.002312474999999999,True
rag_small,openai/gpt-oss-20b,60,809.7,56.516666666666666,7.768250000000001e-05,7.429125000000001e-05,8.135128125e-05,0.0046609500000000005,True
rag_large,openai/gpt-oss-120b,60,809.7,53.71666666666667,0.000153685,0.00014740243750000002,0.00016013,0.0092211,True
