model,source,n,p50,p95,max
Qwen/Qwen2.5-1.5B-Instruct,filtered_pairs_fallback,39,891,1117,1210
Qwen/Qwen2.5-3B-Instruct,filtered_pairs_fallback,39,891,1117,1210
