arm,model,n,retrieval_ms_p50,generate_ms_p50,e2e_ms_p50,e2e_ms_p95,e2e_ms_mean,run_timestamp,cache_bypassed
closed_book,openai/gpt-oss-20b,15,0.0,3473.83729997091,3473.8516999641433,4503.017480066046,2607.8045266835643,2026-08-23T12:35:09.702647+00:00,True
rag_small,openai/gpt-oss-20b,15,706.7298999754712,10254.686600062996,10922.873700037599,13873.760150035376,10538.061280005302,2026-08-23T12:35:56.571225+00:00,True
rag_large,openai/gpt-oss-120b,15,735.5029999744147,8581.024499959312,9207.349899923429,13733.230499981435,7892.097759991884,2026-08-23T12:38:34.566794+00:00,True
