scheme,k,recall_mean,recall_ci_lo,recall_ci_hi,n_questions
whole_review,1,0.05872752111475822,0.0445650613754062,0.07795571098829879,58
whole_review,3,0.15365065812981366,0.13276224267263287,0.17551590348550417,58
whole_review,5,0.2602433534195304,0.2305809575238321,0.2905712794572454,58
whole_review,10,0.503914798725704,0.45688930257745647,0.5515060887218128,58
fixed_token_128,1,0.046182149063941524,0.03722402286336844,0.05543344167805374,58
fixed_token_128,3,0.14001473642900997,0.10861458955205619,0.18073736333259457,58
fixed_token_128,5,0.22377902025734844,0.18971646602821873,0.2647546167264493,58
fixed_token_128,10,0.4251029326206811,0.37709209497799084,0.4731150947220994,58
fixed_token_256,1,0.05872752111475822,0.044658837205343554,0.07877631081168099,58
fixed_token_256,3,0.15101907918244525,0.12996797252929151,0.17322287890202506,58
fixed_token_256,5,0.2514251618960971,0.22175831545120003,0.28147098428310063,58
fixed_token_256,10,0.49244826669896063,0.44519468065370565,0.5399594150826368,58
sentence_window_3,1,0.040067549098588916,0.02441417878535886,0.06069368549399841,58
sentence_window_3,3,0.11439868566483277,0.08954956975280985,0.1421823604475634,58
sentence_window_3,5,0.15940633272756682,0.12798534152703045,0.1928337030527566,58
sentence_window_3,10,0.24572783049483166,0.21004323396813318,0.28346168040565595,58
